DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
STEP0,0,1,1018,432061,0,77F0C905600E0098902003EC080057A076E19FC3803F571609D9985304E0
STEP0,0,1,1018,432061,1,A7A010010F0D00ACD13007D61400F285FE7B56511D4D94AD30111278A543
STEP0,0,2,1018,432061,0,27C6530508190033B1400B160100A14B529FE8DF03ABED2B8E7224F26DE2
STEP0,0,2,1018,432061,1,9D202008AB0300FE212009BE15005CD5D43FD8425E0E324240B215F57A9C
STEP0,0,3,1018,432061,0,6028CF04BF040068802009391400A1F5789811CC49FC829C0F832BFBFF05
STEP0,0,3,1018,432061,1,F260300C4E0A00C4309004EB0B00586E9EE84FABB61FF1634AF0B694A2A0
STEP0,0,4,1018,432061,0,B3E3970F1B0900C64030044F05007F54EC16086A8EE81AE39CDA7CBC22D2
STEP0,0,4,1018,432061,1,C8C040096B0B0099B1A00C561B001516D823AED076108F6A9A40A86CC7C4
STEP0,0,5,1018,432061,0,8199040F0C0A00015040069806006D125BD0C502D95D220BD572C844EEB2
STEP0,0,5,1018,432061,1,B830500DCC0900EC11700A211800D5658470794AF997EEF4FA2876795BFB
STEP0,0,6,1018,432061,0,EDDB9C0E0A1A001601800CD10700E30BBC9E79279A85047CE8CC3E4420EC
STEP0,0,6,1018,432061,1,FF70600E38050026316003C911005DDE6B56BC35E39EB9D3BDA22168C175
STEP0,0,7,1018,432061,0,A020620B2B0600175080043118009D4DED784216247B133ED2FC56942786
STEP0,0,7,1018,432061,1,47807000880E0096D0D003C00F006E9B028034655822A11DC9C5C3039C01
STEP0,0,8,1018,432061,0,11531C04640D00F8901009C80700FD99B4ED3D705B5FB3CDA4D849F4560D
STEP0,0,8,1018,432061,1,8FF0800C790F005FA1900A840C00D48999989DBAF816844E3DB70518AD81
STEP0,0,9,1018,432061,0,417E0602D60A0042B100002E05005C5AC75C6D07129B9F2C835B1AA30E17
STEP0,0,9,1018,432061,1,3E1090095D150075516003E303001B1702E3C7E93E84C7AB273624001F99
STEP0,0,10,1018,432061,0,FE825C097705004B40B00E9F090069736596207A9FB06D6AFE19199F0C3D
STEP0,0,10,1018,432061,1,2CB0A009360300DF61A00C681B00F9229992B01D7DDBADCB1DF3175DB144
STEP0,0,11,1018,432061,0,F83B1C087812007A211009B70C0054C93D108674E566559436A9EFE5423F
STEP0,0,11,1018,432061,1,AD80B009050A006700400BBB05007E6C4FCBC469D405721F2C6BA1609DCD
STEP0,0,12,1018,432061,0,691EFF03F51100AA3120019B0B00A9A5BFDF7AF1F92C7931AA75D555E2CD
STEP0,0,12,1018,432061,1,2E00C0007B0D000E41800B1E130061280E05A4F20DF6525C381F255DAC3F
STEP0,0,13,1018,432061,0,F4D48D0B3C0C009360E00E4F0100590B319C164D42AFF74BFB26F9536ACB
STEP0,0,13,1018,432061,1,3280D0050511007911200E8B0700130EF84223B7B68455A84030FAEB2FC2
STEP0,0,14,1018,432061,0,7346720D1001003E60F006E80D00DD62DF9969B9F8A3D6999D1DE4D48748
STEP0,0,14,1018,432061,1,CFA0E007FC07001B619004661600EE8C5D9B5F11747AF6A303A5BB46DFE4
STEP0,0,15,1018,432061,0,A2760A0D7415008F90E00B261000254A5C8925955AD3EEDD6B159A34AF0D
STEP0,0,15,1018,432061,1,3340F008F708008810100F3607006E76AE07894BE6E0D78D929B2060C328
STEP0,0,16,1018,432061,0,01D1A70FF8160013B0F006F00900E4FC4E256F2E30D6B3A8EDC1732DAA7A
STEP0,0,16,1018,432061,1,1A91000F7E140026F1700B1E0400280A16F85EF1FAC0F029C7F8D75D66C3
STEP0,0,17,1018,432061,0,86130201DF1B001390B002471800F4F09309D2AA500BB96EF56981F315EE
STEP0,0,17,1018,432061,1,BE91100B2B1200BEB0D002360600D5079E75991F556BD1F12F55408BED2E
STEP0,0,18,1018,432061,0,B408AF099F1B00CC30B0044B1100E822CB1B5407D1D3BC89D6ADA3EB04BE
STEP0,0,18,1018,432061,1,C7512009021300B2A0D0063B020086BB22564BFCA71A01929E1FA3B6D8F4
STEP0,0,19,1018,432061,0,A2F03200561900DCD0300D791400BB2419439BE0845DDE608CE32115D6F4
STEP0,0,19,1018,432061,1,B2C130042A1200359010079A1B00ACB9F0371A7B4A099DC8586C941CCAA9
STEP0,0,20,1018,432061,0,F47F470446190013113009FA150097EF33C68C6ADE33F1DA60EE90AEC3E2
STEP0,0,20,1018,432061,1,28F140034C030042D010023D10001FC285B3C2358E32D42ABD5550E08D2B
STEP0,0,21,1018,432061,0,EBD17E0D910F004D61600C3314002E8CC1423C7AA82C592F813EE96A4CE8
STEP0,0,21,1018,432061,1,66A15007540900C1B02008D6190022DA26C9D475BD252D3E6CBB0F90B66C
STEP0,0,22,1018,432061,0,C612BE07940F008651500875170006E795D5A833AA6F58CDD0E40E15701D
STEP0,0,22,1018,432061,1,EA8160097A090062A0600BB91A007296D1FED5B216418D8E453821A48FDF
STEP0,0,23,1018,432061,0,95AE3505ED1A00005070048D18003897BFC294CA6B75E1B7CB3BD95C3E3D
STEP0,0,23,1018,432061,1,4761700CCC160027905005BD1000236B146CBE76405BB1879906D4478124
STEP0,0,24,1018,432061,0,9A0E1506471A00C651100C5617005E07E2FE204D2795DFFD7582FFE6706A
STEP0,0,24,1018,432061,1,7501800F880700D96050024F0C005F9FE32E4908E0C57177272CDB139927
STEP0,0,25,1018,432061,0,C9321B06A50200B7413004A11400B8DEB5AAF4A135656CA04DAB4D22FDE0
STEP0,0,25,1018,432061,1,8E919001E20E000B80800BAB0300199E41312C7C85EE4146852EE8E7BB4B
STEP0,0,26,1018,432061,0,ACB1D202A505005F61700E9F18002B8224E86ED67C424373FAE898A569F0
STEP0,0,26,1018,432061,1,4231A009480A00E2007002E604000F989EB10A17F1F771928BCF5A68EE6B
STEP0,0,27,1018,432061,0,20AA250A6E0B0057E110042D120025DC4684BCA3BD565F2C5BE640DA712F
STEP0,0,27,1018,432061,1,A4F1B001311800A440A003190D0009722ABCB0E2847CD1F376CF0244162F
STEP0,0,1,1018,432091,0,C37B8507950E00876020041008006147774D1C32BCD78FD46AED4982DDD2
STEP0,0,1,1018,432091,1,14F01004E90D0066713000C41400FD4A98EFC3F4601B137FFA6BDC2E3139
STEP0,0,2,1018,432091,0,9C9540001C1900C40140062001003899F86C6937DEEDC2F94A387CB2888E
STEP0,0,2,1018,432091,1,03502004AB03001141200EFE150056F8FB552B0B40C1080317548B6E4214
STEP0,0,3,1018,432091,0,4A39FF07B404008BB020013914005EF032749495CDF98EA41B5CC2EEF57B
STEP0,0,3,1018,432091,1,DEE0300F190A0084509007FE0B00B48DCFDCCB5D339525C5932FD7338D5F
STEP0,0,4,1018,432091,0,B44633085109005FD0300E71050083542B92E444079E8C5CBEB6C382EA3D
STEP0,0,4,1018,432091,1,1BA04008FA0B00F721A005E21B00C7F3D48C37550D60050FB594694F79F8
STEP0,0,5,1018,432091,0,38674801D60A00ED304005B90600305D23DBD70FBE997C7056D394F6CCB1
STEP0,0,5,1018,432091,1,889050089C09001F417009471800C5514CA988EEBECA761D41A7AF7C7A7E
STEP0,0,6,1018,432091,0,D4DA1F05F31A00CA61800A9F0700BC9A27140EBB3DD093614C678F026F3D
STEP0,0,6,1018,432091,1,7D7060060705000EA1600ACA11005A6A1251452E5D9F99019ED94B8A3478
STEP0,0,7,1018,432091,0,F9EB470B1106007D80800FF418003D43CD87AB924829303B80066774A612
STEP0,0,7,1018,432091,1,6EB0700A1E0E00F400D00BB40F00E0560FBE4F5743F28217A01A7E5DB470
STEP0,0,8,1018,432091,0,2A40E60C8A0D00E34010017D07008C54468014AD79889D6A00107D5C3C71
STEP0,0,8,1018,432091,1,20308005C20F0074119009310C00BB7B847AAF641A53CBB57E6DAF7C8A7B
STEP0,0,9,1018,432091,0,35DF37087A0A00DFE10000090500D51441AEA88DAE37E4717FF7C97F517D
STEP0,0,9,1018,432091,1,4B10900B6D15006700300C101600C6AC178FCDF75FEAF3D701F347280FC4
STEP0,0,10,1018,432091,0,DBE91F091D05001EE0B009BA090005D64A9D0B2BBC93C1BF9191F65D0A54
STEP0,0,10,1018,432091,1,2070A005E90300CC21A0070E1B002FFEA36C41DEAD701C2866EDF0F43274
STEP0,0,11,1018,432091,0,3135DC0C551100FD01200E450A00B242701F105E41F759EE37E1FC87303C
STEP0,0,11,1018,432091,1,6AE0B00E100C002CA0400095050033FAA28DB3AB81374A526BB0A77C17DE
STEP0,0,12,1018,432091,0,730CB405251100F0E12009280B00D46EE35B71A932A8DAA2EE0F5F050B41
STEP0,0,12,1018,432091,1,7930C00C5D0D00CDA1800DEE1300334E70500DD785D459E5CDF627A9DCE5
STEP0,0,13,1018,432091,0,F19DB500B00C00B120E0088E01002B6C62A85499E6C16A1AA92CB15C4B1E
STEP0,0,13,1018,432091,1,5350D0036D11006060700C4B1200ABB259C2D5EE9F75D291F2AC4E7B0405
STEP0,0,14,1018,432091,0,17B73F064601005930F00B1E0D0018D67BCB57E661BFF4012FAA00D0F53E
STEP0,0,14,1018,432091,1,BDD0E00EA20700B2C190021B16005C594A5F137F9DCA2D157441F526DBF8
STEP0,0,15,1018,432091,0,28FBB808CA1600F760E00AAC10002C68F310B8BB8822A3D7360FB247CBF9
STEP0,0,15,1018,432091,1,1090F00E3908005EC01001D70700BCB72DD8F36EA06AD799D91AC6ACC23C
STEP0,0,16,1018,432091,0,8647D20B2316008C50F004740900DEBDB83220CF5289DC7D1477C431635B
STEP0,0,16,1018,432091,1,8311000455140026B1700FAD0400E31AF02A5E86B9DB7C1FCC0F18929755
STEP0,0,17,1018,432091,0,938B0A03491B00F230B0028E18002254D647065A93DEC516CEAF4D03DABA
STEP0,0,17,1018,432091,1,44311004AF12005A80D002C50600C0051BDD5C73B55A6DE0B254DC2440CC
STEP0,0,18,1018,432091,0,B0D0B104600C00B730B008431100A352F166DD2D2078647D2692B6CC5A02
STEP0,0,18,1018,432091,1,9731200AD713008290D000000200DDB38D96FF5549E673A6F1CAAE156A49
STEP0,0,19,1018,432091,0,32458307B41900A0903001831400F9EC058D554D6CF00DD9CA0C55022272
STEP0,0,19,1018,432091,1,71C1300B4712005F00100A9E1B0057D76CFB55493BA374E768F552874817
STEP0,0,20,1018,432091,0,0C609C0F391900456130018B15006F78E40BF6CB2BDC40945D820FA52C25
STEP0,0,20,1018,432091,1,4EC14005610300AEE0100B5B10004049BF20272340E7DF706F33541123AB
STEP0,0,21,1018,432091,0,E38D4D09040F007C11600C2A140086125E6D5C24DBA336D9CFB1A52A5F89
STEP0,0,21,1018,432091,1,058150093F0900C46020091E1900B1B668778B8E4A9536F0BE9DD555CB6A
