UID,DsmPkr bits,New public key bits
STEP1_b,717AB02C81D48C1D45CA1DAF3EB5185858CA7BAB350593EC57DD2D0943DA45652D2B3340B335B38DE63EA9160D698B9799C4BBE8B51E6F04344BB0EDE4E589382AFC362994B341BD6557B2DB99D85804A262A459472A578C462CDE7112AEF3980D0784407F06C68724B1D204B547B1C4795D651DFFC5CCE92E86E37527EBEBDE2F110341363C2795D3725531EF844BEFF0D77DD59F75F2B8E32A055D8DA6F878A8FCC44268D6566E23,0341363C2795D3725531EF844BEFF0D77DD59F75F2B8E32A055D8DA6F878A8FCC4
STEP2_b,717AB02C81D48C1D45CA1DAF3EB5185858CA7BAB350593EC57DD2D0943DA45652D2B3340B335B38DE63EA9160D698B9799C4BBE8B51E6F04344BB0EDE4E589382AFC362994B341BD6557B2DB99D85804A262A459472A578C462CDE7112AEF3980D0784407F06C68724B1D204B547B1C4795D651DFFC5CCE92E86E37527EBEBDE2F110341363C2795D3725531EF844BEFF0D77DD59F75F2B8E32A055D8DA6F878A8FCC44268D6566E23,0341363C2795D3725531EF844BEFF0D77DD59F75F2B8E32A055D8DA6F878A8FCC4
