DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
CIDKR0_DAY0_OP_NOM,0,12,1018,432061,0,A38DF620C55D1100DCD01200217E0B006AE08850D5594E8FC05D8AC0DF32
CIDKR0_DAY0_OP_NOM,0,12,1018,432061,1,609B0D00CA2418006910130061820800F54A3C661BDEEE899F7FEDD2CE5E
CIDKR0_DAY0_OP_NOM,0,13,1018,432061,0,9184F3E06F410C002F610E0007140100593C2D19853C5BAB4AFE1D84AC8E
CIDKR0_DAY0_OP_NOM,0,13,1018,432061,1,A7FB11008A7912004CED070014AA1B00A7BDCCCDC34EA5129A6CF4980E51
CIDKR0_DAY0_OP_NOM,0,14,1018,432061,0,02B2BA60772E0100CE3D0F006EDF0D0073AD31B96DC385B8FA5E18C39C6B
CIDKR0_DAY0_OP_NOM,0,14,1018,432061,1,40B207004E9D1900EFDA16005D361500A338E825DAC2B84FDF4B028B1B6A
CIDKR0_DAY0_OP_NOM,0,15,1018,432061,0,12DB7B3075261500168B0E00702C1000799A39B57DD41B5E659408EA2BEC
CIDKR0_DAY0_OP_NOM,0,15,1018,432061,1,6133080013E40100AF850700B55D17001FE0FBF62322ED2BCA5C8798CE7C
CIDKR0_DAY0_OP_NOM,0,16,1018,432061,0,0554C8506D87160092EE0F0088A40900778E6EFEC939ADD45DD648DD36E8
CIDKR0_DAY0_OP_NOM,0,16,1018,432061,1,DC551400EA8117004FC40400BE7D05004952FB22D43FD54FBCEB9A32478C
CIDKR0_DAY0_OP_NOM,0,17,1018,432061,0,97446F60A2C61B000CDB0B00438A1800221A37513F251DE7D24DAA00668E
CIDKR0_DAY0_OP_NOM,0,17,1018,432061,1,4334120005C90D00CAE90600F7491A00B0D18A006FD9DA0D5BEC132D988A
CIDKR0_DAY0_OP_NOM,0,18,1018,432061,0,A77134B057201B0063320B00FF40110092927D340BE0DA7C43B531E36066
CIDKR0_DAY0_OP_NOM,0,18,1018,432061,1,E0651300E6760D00E9B60200CE7F19000B9D245F11A8AC9D57DB69FA21C9
CIDKR0_DAY0_OP_NOM,0,19,1018,432061,0,B978693087EC1900B0CE0300C209140034E9BAF3D40DC6EDC4F998049202
CIDKR0_DAY0_OP_NOM,0,19,1018,432061,1,41D3120074AB010077E51B0056660C00114F99C6516E4D6D9337C2C54A05
CIDKR0_DAY0_OP_NOM,0,20,1018,432061,0,2AE6EDE0D82E19007B8113001F301500D2E73EF250EED5D394614B21D524
CIDKR0_DAY0_OP_NOM,0,20,1018,432061,1,FDAD0300DAE30100E2B610006EA00F00A839204A8F64510F2D354E4008F1
CIDKR0_DAY0_OP_NOM,0,21,1018,432061,0,97FE7E70B63A0F00094B1600D2521400D1302DFF41D117588EF27A112B50
CIDKR0_DAY0_OP_NOM,0,21,1018,432061,1,6B000900625302002DFE1900882E0300A19E9B8A224D7A52822FDC5913FA
CIDKR0_DAY0_OP_NOM,0,22,1018,432061,0,D781147093570F000BAE1500293B17000FD91BC7BFA20B6E945D5FB39369
CIDKR0_DAY0_OP_NOM,0,22,1018,432061,1,05EE090080E506003C6C1A000594070033B1940B9B6707C3C96ABDF51948
CIDKR0_DAY0_OP_NOM,0,23,1018,432061,0,876F83F077CD1A0094F90700113F180050ED172C0377D2C86DFF00582232
